B1	B2	CD4_1	CD4_2	CD4_3	CD4_4	CD45_1	CD45_2	CD8_1	CD8_2	CD8_3	CD8_4	CD8_5	CD8_6	DC1	DC2	DC3	DC4	E1	E2	E3	M1	M10	M11	M12	M13	M2	M3	M4	M5	M6	M7	M8	M9	Mo1	Mo2	Mo3	Mo4	Mo5	Mo6	Mo7	Mo8	N1	N2	N3	N4	N5	N6	N7	NK1	NK2	NKT	S	T1	T10	T11	T12	T2	T3	T4	T5	T6	T7	T8	T9	Treg1	Treg2
Mo4	8	0	26	1	0	2	45	9	3	7	4	0	2	10	34	1	4	0	82	64	0	136	70	9	2	0	28	243	0	0	0	688	14	0	300	156	5	144	8	14	7	14	47	1	0	0	19	174	18	59	0	7	0	0	19	15	250	1	0	1	7	10	41	120	1	5	11
Mo5	1	0	18	0	0	0	13	1	0	4	3	0	0	4	2	0	0	1	53	33	0	48	7	5	0	0	5	31	0	0	0	285	10	0	193	35	7	8	38	1	4	0	12	1	0	0	10	45	17	15	0	3	0	0	2	5	72	0	0	0	1	2	12	28	2	2	5
Mo6	1	0	13	0	0	0	2	1	0	1	0	0	0	0	1	0	2	1	27	14	0	12	3	2	0	0	10	46	0	0	0	231	9	0	55	42	6	14	1	18	2	1	7	0	0	0	11	35	12	11	0	0	0	0	1	2	63	0	0	0	0	0	12	36	0	0	2
Mo7	0	0	2	0	0	0	2	1	0	0	0	0	1	1	0	0	0	0	3	9	0	11	4	1	0	0	4	11	0	0	0	48	4	0	14	4	0	7	4	2	0	0	3	0	0	0	0	10	0	5	0	0	0	0	0	1	14	0	0	0	0	0	3	9	0	0	1
Mo8	0	0	0	0	0	0	2	0	0	0	0	0	1	1	4	0	1	0	6	14	0	5	13	3	0	0	3	26	0	0	0	40	0	0	10	2	0	14	0	1	0	4	1	0	0	0	0	4	1	3	0	0	0	0	0	0	23	0	0	0	0	1	4	14	0	0	0
N1	8	0	111	0	0	0	115	3	12	33	4	0	1	23	10	3	4	3	228	181	0	1045	25	19	1	9	57	85	2	0	12	1429	78	0	1238	166	248	47	12	7	3	1	796	67	12	4	122	1919	963	173	0	28	9	0	173	148	302	0	0	0	8	77	34	189	6	2	54
N2	0	0	8	0	0	0	13	0	0	1	0	0	1	2	1	1	1	0	31	9	0	293	1	5	0	7	1	0	1	0	6	79	1	0	180	11	20	1	1	0	0	0	67	14	1	0	4	82	94	17	0	5	1	0	11	18	27	0	0	3	2	36	5	12	0	2	6
N3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	2	2	0	0	0	0	0	0	12	1	0	0	0	24	13	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0
N4	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	6	0	0	6	2	2	0	0	0	0	0	4	0	0	0	2	5	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
N5	5	0	26	1	0	2	49	0	1	6	0	0	0	9	6	1	1	0	45	52	0	127	8	1	0	0	15	44	1	1	0	938	37	0	235	69	61	19	10	11	0	0	122	4	0	2	130	406	190	50	0	14	1	0	40	25	72	0	0	0	0	1	19	93	4	0	17
N6	24	2	404	1	1	1	370	11	20	95	15	1	2	86	36	13	21	6	734	756	0	2994	79	48	0	30	241	341	0	0	37	4448	270	4	3596	590	665	174	45	35	10	4	1919	82	24	5	406	8194	3442	591	3	104	16	2	713	596	1066	0	2	10	39	257	134	633	11	11	166
N7	13	0	219	1	0	4	221	9	13	61	10	0	7	57	13	9	7	4	478	366	0	3739	19	59	0	31	105	48	3	0	42	1613	107	5	3329	228	983	18	17	12	0	1	963	94	13	4	190	3442	3498	294	0	45	22	2	370	465	566	1	8	18	44	389	50	261	9	10	74
NK1	17	0	184	0	1	4	196	24	7	55	3	2	2	35	20	2	1	4	357	222	1	1291	35	70	0	27	101	214	1	0	23	1378	119	0	1719	211	125	59	15	11	5	3	173	17	1	0	50	591	294	442	1	67	5	2	64	131	407	2	2	4	20	80	80	257	9	6	59
NK2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	4	0	0	1	2	0	0	0	4	0	0	0	6	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	3	0	1	2	0	0	0	1	1	6	0	0	0	0	0	1	4	0	0	0
NKT	2	0	34	0	0	1	40	4	0	10	0	0	1	5	8	1	0	0	46	15	0	155	2	8	2	8	9	16	0	0	0	239	20	0	213	25	30	7	3	0	0	0	28	5	0	0	14	104	45	67	0	12	1	0	6	14	42	0	0	0	1	4	7	37	2	3	22
S	0	0	0	0	1	0	6	0	1	0	0	0	0	0	0	0	1	0	14	3	0	50	0	2	0	17	0	0	0	0	1	17	0	0	59	3	7	0	0	0	0	0	9	1	0	0	1	16	22	5	0	1	60	0	1	2	9	0	0	0	3	5	0	3	0	0	3
T1	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	3	1	0	24	0	1	0	0	2	4	0	0	1	7	0	0	15	3	1	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	2	10	1	0	1	1	3	3	1	0	0	0
T10	2	0	30	0	0	1	29	2	2	7	0	0	0	8	2	1	0	1	46	50	2	416	6	9	0	1	26	42	0	0	1	363	20	0	355	49	78	19	2	1	0	0	173	11	1	0	40	713	370	64	1	6	1	0	100	100	225	0	0	0	17	50	18	51	1	1	15
