SampleName	100001101-Pre	100001106-Pre	100001107-Pre	100001109-Pre	100001115-Pre	100005101-Pre	100001104-Pre	100001105-Pre	100001110-Pre	100001113-Pre	100001114-Pre	100001116-Pre	100004103-Pre	100005103-Pre	100004102-Pre	100006101-Pre	100001103-Pre	100001111-Pre	100001101-Post	100001106-Post	100001107-Post	100001109-Post	100001115-Post	100005101-Post	100001104-Post	100001105-Post	100001110-Post	100001113-Post	100001114-Post	100001116-Post	100004103-Post	100005103-Post	100004102-Post	100006101-Post	100001103-Post	100001111-Post	100001112-Post	100001102-Post
Patient	100001101	100001106	100001107	100001109	100001115	100005101	100001104	100001105	100001110	100001113	100001114	100001116	100004103	100005103	100004102	100006101	100001103	100001111	100001101	100001106	100001107	100001109	100001115	100005101	100001104	100001105	100001110	100001113	100001114	100001116	100004103	100005103	100004102	100006101	100001103	100001111	100001112	100001102
Timepoint	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post
Response	PD	PD	PD	PD	PD	PD	SD	SD	SD	SD	SD	SD	SD	SD	PR	PR	PR	PR	PD	PD	PD	PD	PD	PD	SD	SD	SD	SD	SD	SD	SD	SD	PR	PR	PR	PR	PR	PD
IRF8	1.41	324.48	62.18	50.21	44.37	12.16	32	50.63	17.41	80.38	47.16	18.1	9.07	51.93	53.08	25.79	77.28	49.24	4.9	304.65	27.52	49.82	73.09	24.04	164	52.78	93.8	35.48	17.11	176.07	47.19	32.55	136.01	59.22	45.91	50.55	43.42	160.26
IRF9	347.29	451.11	650.52	380.19	809.23	448.08	506.56	652.51	522.62	242.12	464.81	275.63	326.59	479.47	858.45	647.08	1265.74	901.42	251.75	574.68	623.09	532.77	454.52	458.78	848.38	268.8	609.68	592.65	336.71	556	575.74	609.8	842.28	788.44	1164.02	704.54	521.1	906.49
IRS2	330.67	94.97	113.66	246.76	204.95	219.83	85.95	646.89	147	48.72	141.47	157.15	175.39	115.94	63.7	141.83	278.67	129.72	236.36	90.01	169.53	159.34	62.17	206.35	57.96	273.69	93.8	45.91	214.92	148.27	99.1	82.22	42.61	62.51	91.83	53.71	118.21	82.64
ISG15	18.39	39.57	117.67	53.08	86.63	45.84	42.06	236.26	824.74	114.97	64	109.43	11.34	76.09	128.92	106.37	182.66	72.67	3.5	65.78	356.81	79.42	27.72	72.12	118.38	43.99	715.2	54.26	44.18	115.83	33.03	68.52	170.42	133.78	164.75	90.04	41.01	348.07
ITGA1	16.62	55.4	166.47	41.61	8.45	581.85	43.89	5.63	11.22	190.48	124.62	54.3	52.16	90.58	121.34	43.51	86.65	30.63	25.17	62.31	184.62	62.16	34.45	711.21	41.93	41.05	26.65	91.82	40.99	18.53	94.38	106.2	140.93	78.95	143.14	63.19	65.14	50.08
ITGA2	16.98	87.06	42.79	50.21	107.76	101.03	93.27	45	25.14	90.61	53.89	62.53	11.34	111.11	81.9	61.24	22.25	22.22	25.87	38.08	71.89	67.09	77.29	70.12	76.45	7.82	22.38	48	34.23	69.5	18.88	99.35	88.49	97.6	99.93	112.16	53.07	57.59
ITGA4	4.24	47.49	36.77	21.52	27.47	43.97	25.6	146.25	13.54	76	30.31	27.97	6.8	41.06	22.75	18.53	51.52	24.62	8.39	83.09	45.27	26.64	21	52.09	85.08	24.44	53.29	29.22	13.53	83.4	28.32	51.39	67.19	39.48	54.01	39.49	72.37	107.68
ITGA6	118.12	237.43	341.64	414.62	604.28	1277.82	265.17	146.25	112.96	966.55	346.93	213.92	339.44	285.02	353.39	319.11	179.15	190.97	220.28	200.79	493.5	347.78	329.34	1380.35	246.62	53.76	127.91	323.45	388.45	143.63	235.96	412.81	540.77	414.51	426.72	597.12	238.84	325.53
ITGAE	83.46	47.49	44.79	63.13	42.26	49.58	62.18	33.75	49.52	71.13	47.16	55.13	31.75	59.18	50.05	56.41	55.03	38.44	100	79.62	61.24	65.12	41.17	28.05	35.76	46.92	33.04	48	68.06	69.5	51.91	46.25	62.27	65.8	45.91	80.56	79.61	32.55
ITGAL	2.12	182.03	50.81	53.08	46.48	16.84	35.66	241.88	41.39	53.1	50.52	23.04	14.36	56.76	69.77	29.01	74.94	37.83	4.9	249.26	47.93	53.28	42.01	28.05	143.04	25.41	184.4	56.34	18.31	139	51.91	54.81	106.51	65.8	99.93	36.33	53.07	240.39
ITGAM	2.83	118.71	60.17	51.65	33.81	19.64	24.69	73.13	23.21	86.72	80.84	25.51	10.58	57.97	47.02	12.09	46.84	25.22	4.9	200.79	61.24	38.48	47.89	20.03	43.16	52.78	128.97	79.3	14.73	139	23.6	47.96	54.08	30.7	24.31	47.39	33.77	132.72
ITGAV	176.83	110.8	979.46	325.67	492.3	328.34	333.75	106.88	218.56	359.53	559.12	207.34	340.95	602.66	984.33	631.77	540.96	422.19	286.01	335.81	725.16	360.6	419.23	472.8	447.62	178.87	246.22	911.93	265.07	287.26	405.85	707.43	589.93	707.3	991.17	579.75	332.92	413.18
ITGAX	60.83	553.99	109.65	109.04	126.77	45.84	44.8	1541.29	189.94	114.97	53.89	92.97	3.78	77.29	62.18	108.79	101.87	72.67	68.53	1138.97	144.68	192.39	60.49	32.05	125.78	317.67	516.95	64.69	33.03	1445.59	75.51	92.5	170.42	78.95	116.13	139.01	69.96	793.8
ITGB1	654.97	316.57	1379.93	834.98	568.36	1275.01	460.84	360.01	717.2	1101.98	1067.72	1532.82	969.18	1131.64	747.73	576.97	608.87	697.84	648.95	616.22	1740.57	856.37	589.78	1200.04	492.01	820.09	625.67	884.8	1052.72	430.9	906.08	981.5	665.31	713.88	756.21	606.6	598.3	548.4
ITGB2	9.2	791.42	133.71	97.56	150.01	78.58	74.06	1636.91	118.37	323.48	127.99	106.96	17.39	132.85	109.2	76.55	142.85	93.69	8.39	1343.23	200.6	152.92	101.66	94.16	231.82	264.89	802.61	108.51	53.33	1051.76	198.21	142.17	293.32	126.11	124.23	148.49	171.29	1317.16
ITGB3	17.68	47.49	495.41	86.08	29.58	573.43	15.54	73.13	17.79	621.14	158.31	99.56	18.14	60.39	83.42	219.18	28.1	137.53	68.53	20.77	584.92	58.21	33.61	452.77	25.9	12.71	15.99	91.82	25.87	74.13	75.51	56.53	32.77	31.8	48.61	26.85	50.66	57.59
ITGB4	108.57	229.51	135.05	327.11	431.03	58.93	751.62	106.88	12.77	153.95	333.45	306.89	17.39	740.34	700.71	412.58	298.58	265.44	12.59	318.5	33.73	413.88	751.09	182.31	774.39	18.57	10.66	442.4	31.04	148.27	122.7	996.91	907.83	756.64	1201.83	960.45	687.56	580.95
ITGB8	19.8	15.83	515.47	58.82	29.58	1450.88	134.41	11.25	136.94	144.69	43.79	277.27	610.84	73.67	53.08	33.04	188.51	206.59	21.68	27.7	1075.76	35.52	98.3	1266.15	94.95	12.71	61.82	79.3	148.06	37.07	56.63	85.65	131.09	74.57	72.92	101.1	38.6	55.09
ITPK1	143.94	166.2	278.79	203.72	78.18	168.38	120.7	562.51	247.96	172.95	168.41	113.54	434.7	114.73	89.48	216.77	190.86	302.08	139.16	197.33	495.28	194.85	91.58	206.35	113.45	402.71	203.58	83.47	233.63	176.07	75.51	102.77	93.41	86.63	129.64	107.42	101.32	152.75
JAG1	65.07	94.97	115.66	83.21	40.14	113.19	117.04	16.88	18.57	51.15	191.99	139.87	135.32	222.22	177.45	103.95	148.7	31.23	55.24	90.01	77.22	103.1	125.18	136.23	178.8	22.48	23.45	198.25	15.52	50.97	103.82	219.25	165.51	169.97	286.28	134.27	173.7	170.28
JAG2	80.63	71.23	129.03	192.25	131	99.16	257.85	22.5	18.96	107.18	215.57	113.54	35.53	262.08	244.19	161.16	161.58	31.83	81.82	114.24	35.5	167.23	370.5	100.17	193.6	80.15	25.58	206.59	102.69	41.7	155.73	267.21	232.69	203.96	299.78	338.05	221.95	195.32
JAK1	136.51	197.85	219.29	189.38	133.11	100.09	164.59	275.63	145.45	158.82	309.88	194.17	145.91	275.36	235.09	180.5	158.07	135.12	144.75	249.26	137.58	211.13	188.19	124.21	237.99	113.39	168.41	283.81	39.8	166.8	160.45	262.08	249.08	265.37	224.16	148.49	267.79	257.92
JAK2	77.45	277	206.59	134.86	179.59	323.66	189.28	118.13	144.29	123.74	252.62	114.37	48.38	256.04	221.44	162.78	218.96	120.11	67.13	332.35	136.69	216.56	253.72	302.51	348.97	75.26	231.3	244.16	50.94	213.13	141.58	224.39	281.85	243.44	318.69	186.4	410.12	303
JAK3	39.61	47.49	135.05	33	42.26	27.13	41.15	106.88	22.44	45.79	47.16	26.33	16.63	68.84	39.43	58.83	70.25	58.85	43.36	107.32	102.96	45.88	29.41	50.09	156.6	18.57	105.52	104.34	19.5	97.3	28.32	121.62	152.4	75.66	143.14	69.51	106.15	120.2
KAT2B	68.96	79.14	90.93	98.99	101.42	13.1	101.5	50.63	78.14	290.35	104.41	81.45	89.96	72.46	100.1	118.46	106.55	63.06	118.88	58.85	124.26	120.37	80.65	10.02	69.05	60.6	98.06	70.95	220.5	92.67	160.45	59.95	96.68	85.53	67.52	74.25	82.02	67.61
KIF2C	70.38	55.4	13.37	54.52	73.95	82.32	13.72	22.5	66.54	47.74	3.37	30.44	18.9	3.62	48.53	38.68	11.71	58.85	89.51	6.92	24.85	45.38	13.44	78.13	28.36	53.76	51.16	31.3	26.67	27.8	4.72	10.28	50.8	25.22	18.91	72.67	9.65	37.56
KIR2DL3	1.06	7.91	1.34	7.17	4.23	4.68	2.74	5.63	4.64	3.41	10.1	6.58	1.51	6.04	6.07	1.61	5.85	4.8	1.4	20.77	1	4.93	9.24	8.01	1.23	2.93	9.59	8.35	8.36	27.8	4.72	5.14	34.41	4.39	16.2	17.38	19.3	15.02
KIR3DL1	2.48	47.49	2.67	18.65	25.35	8.42	3.66	11.25	2.32	2.92	26.95	12.34	9.07	7.25	15.17	1	10.54	3	2.8	20.77	4.44	5.92	4.2	16.03	6.17	7.82	2.13	16.69	6.37	27.8	23.6	8.56	6.55	4.39	13.5	6.32	21.71	12.52
KIR3DL2	2.48	23.74	6.02	48.78	2.11	5.61	7.31	22.5	3.48	1	20.21	12.34	7.56	6.04	21.23	2.42	14.05	4.2	4.9	27.7	3.55	4.44	6.72	10.02	8.63	7.82	7.46	14.61	15.52	46.33	33.03	1.71	4.92	7.68	21.61	15.8	14.47	12.52
KIT	441.01	39.57	30.09	176.46	418.35	12.16	66.75	45	38.3	19.49	57.26	160.44	3.78	169.08	115.27	213.54	105.38	8.41	162.94	31.16	36.39	316.21	73.93	14.02	49.32	295.19	28.78	66.78	89.55	27.8	23.6	118.19	36.05	87.73	56.72	30.01	55.49	20.03
KLF2	42.79	87.06	125.02	64.56	42.26	24.32	69.49	140.63	24.76	55.05	252.62	67.47	15.88	95.41	51.57	52.38	66.74	216.2	25.17	69.24	79.88	35.02	54.61	32.05	69.05	16.62	46.9	98.08	16.72	92.67	56.63	42.82	42.61	37.28	37.81	33.17	74.79	65.11
KLRB1	2.12	47.49	26.07	7.17	10.56	3.74	28.35	39.38	7.74	21.92	20.21	8.23	7.56	56.76	13.65	26.59	24.59	16.21	7.69	100.4	55.03	26.14	49.57	8.01	197.3	19.55	38.37	25.04	1.59	37.07	37.75	39.4	70.46	86.63	27.01	56.87	24.12	140.23
KLRD1	2.12	55.4	9.36	4.3	19.02	7.48	10.06	33.75	6.58	20.46	33.68	13.99	7.56	8.45	15.17	6.45	19.91	13.21	4.2	48.47	14.2	5.43	15.12	2	34.53	5.86	22.38	8.35	9.15	69.5	18.88	18.84	31.14	9.87	24.31	20.54	36.19	50.08
KLRK1	2.83	166.2	27.41	20.09	29.58	8.42	11.89	45	13.15	35.56	16.84	26.33	6.05	45.89	27.3	19.34	50.35	25.22	2.8	72.7	16.86	26.14	39.49	8.01	75.22	27.37	55.43	22.95	19.9	78.77	23.6	42.82	70.46	47.15	70.22	41.07	91.67	120.2
KRAS	123.78	55.4	122.35	120.51	211.29	130.96	109.72	45	72.73	135.43	90.94	157.15	34.78	118.36	174.42	132.16	153.39	132.72	132.87	90.01	80.77	122.34	120.98	120.2	119.61	169.1	96.99	146.08	110.65	101.93	84.95	133.61	167.15	130.49	175.55	132.69	151.99	72.62
LAG3	2.48	39.57	8.02	10.04	12.68	26.19	6.4	151.88	52.61	40.92	43.79	31.27	5.29	14.49	34.88	13.7	21.08	48.04	4.9	27.7	23.08	18.75	10.92	26.04	57.96	14.66	168.41	4.17	35.82	83.4	18.88	15.42	90.13	21.93	51.31	60.03	48.25	107.68
LAMA1	85.23	15.83	11.37	22.95	54.93	2.81	13.72	22.5	52.61	20.46	13.47	96.26	5.29	20.53	10.62	10.48	60.89	3	68.53	10.39	13.31	18.25	3.36	12.02	6.17	17.59	30.91	6.26	126.17	37.07	18.88	22.27	3.28	7.68	5.4	17.38	7.24	7.51
LAMB3	71.44	31.66	80.23	167.86	141.56	21.52	119.78	16.88	23.98	720.04	33.68	106.14	47.63	97.83	251.77	90.25	39.81	32.43	30.07	48.47	141.13	136.64	147.03	42.07	93.72	7.82	24.52	18.78	8.36	27.8	70.79	152.45	214.67	145.85	178.25	259.07	98.91	110.18
LAMC2	18.74	47.49	25.41	98.99	154.24	12.16	99.67	28.13	4.26	23.87	13.47	35.38	3.02	128.02	209.3	116.84	39.81	18.02	2.1	51.93	12.43	58.21	94.94	54.09	107.28	6.84	7.46	39.65	14.73	13.9	9.44	193.56	204.84	137.07	148.54	426.52	86.85	408.17
LCK	3.54	47.49	30.09	45.91	27.47	15.9	27.43	78.75	18.57	32.15	47.16	24.68	20.41	39.85	22.75	13.7	50.35	27.02	4.2	76.16	19.53	35.52	26.88	16.03	69.05	17.59	63.95	22.95	17.51	101.93	33.03	32.55	73.74	42.77	59.42	34.75	55.49	92.65
LDHA	1480.06	356.14	881.18	918.19	1578.32	4299.31	1056.1	461.26	1011.97	2459.72	646.7	1233.34	1328.28	907	1321.04	1149.91	819.63	1212.51	1827.27	533.14	837.89	1076.38	768.73	4275.28	824.95	1175.88	971.02	820.11	3182.45	319.7	1510.14	1521.06	2068.02	886.04	1228.84	1993.57	1063.91	555.91
LDHB	1598.18	395.71	1779.07	1388.76	1631.14	1821.31	414.21	635.64	1982.94	2484.57	1054.25	1304.92	1787.17	538.65	735.59	2311.11	704.88	2103.72	2605.58	543.52	1742.34	1410.84	499.89	2015.43	783.02	3530.58	1483.7	722.03	3408.52	472.6	1038.22	510.45	691.53	580.09	564.46	1338	427.01	515.85
LFNG	10.96	63.31	56.16	48.78	92.97	26.19	86.87	241.88	18.96	28.26	124.62	51.83	18.9	102.66	72.8	58.83	44.49	31.23	6.99	100.4	39.94	53.28	107.54	28.05	88.78	50.83	51.16	95.99	8.76	92.67	28.32	51.39	103.24	111.85	81.02	105.84	96.5	117.69
LIF	1.41	47.49	338.97	40.17	21.13	316.18	27.43	22.5	27.47	631.86	43.79	62.53	4.54	33.82	22.75	40.29	15.22	13.81	2.8	20.77	992.33	37.98	20.16	198.34	25.9	13.68	26.65	33.39	80	27.8	9.44	13.7	27.86	16.45	24.31	15.8	33.77	27.55
LILRA5	1.77	31.66	7.35	4.3	2.11	5.61	2.74	376.88	6.96	7.31	26.95	9.87	3.78	3.62	7.58	13.7	12.88	12.01	1.4	58.85	5.33	3.45	3.36	6.01	3.7	15.64	9.59	22.95	8.36	64.87	4.72	11.99	37.69	6.58	18.91	11.06	12.06	32.55
LILRB2	2.83	182.03	60.84	47.34	44.37	17.77	35.66	466.89	46.81	75.02	94.31	41.96	11.34	53.14	63.7	59.63	72.6	50.45	6.99	353.12	61.24	41.44	26.04	22.04	97.42	87.97	119.38	62.6	17.51	370.66	80.23	59.95	224.5	57.02	89.12	88.46	67.55	247.91
LIPA	89.12	2295.11	83.57	147.77	238.76	37.42	64.01	787.52	245.26	502.27	107.78	316.77	96.77	157	91	95.89	69.08	45.04	76.22	2596.45	157.1	331.01	87.38	44.08	119.61	1266.78	753.58	106.43	96.32	1454.86	283.15	133.61	114.71	114.04	72.92	167.45	94.09	1299.63
LOXL2	9.2	23.74	42.12	25.82	8.45	74.84	10.97	33.75	4.64	33.13	43.79	18.1	12.85	26.57	28.82	18.53	22.25	11.41	9.79	27.7	27.52	15.29	8.4	74.13	30.83	11.73	12.79	56.34	4.38	46.33	23.6	30.83	29.5	25.22	32.41	20.54	53.07	35.06
LRP2	4.95	23.74	13.37	45.91	23.24	12.16	10.06	106.88	4.26	8.28	40.42	19.75	13.61	19.32	36.4	5.64	16.39	43.24	6.99	20.77	14.2	5.92	11.76	14.02	16.03	14.66	17.05	29.22	18.71	46.33	51.91	23.98	26.22	10.97	13.5	20.54	19.3	22.54
LTB	4.6	71.23	125.69	156.38	139.45	21.52	96.01	292.51	23.21	38.97	60.63	29.62	23.44	140.1	160.77	60.44	76.11	66.66	2.8	152.32	55.92	115.93	113.42	66.11	357.6	15.64	200.39	183.64	23.08	97.3	151.01	107.91	175.34	211.64	202.56	97.94	24.12	172.78
LTBP1	16.27	102.88	146.42	87.51	69.72	156.22	111.55	16.88	6.58	112.54	242.51	115.19	39.31	138.89	262.39	78.17	67.91	31.23	49.65	124.63	244.97	123.33	185.67	130.22	140.57	7.82	3.2	427.79	62.49	101.93	80.23	214.11	136.01	159	175.55	383.86	159.22	95.16
LY9	1.06	134.54	16.05	25.82	23.24	7.48	13.72	22.5	8.12	14.13	16.84	19.75	2.27	24.15	21.23	12.89	30.44	19.82	1.4	148.86	7.1	26.64	31.09	4.01	40.69	26.39	33.04	16.69	14.73	115.83	9.44	17.13	40.97	29.61	32.41	20.54	26.54	115.19
LY96	48.8	102.88	98.95	35.87	52.82	18.71	39.32	16.88	30.17	236.28	97.68	133.29	85.43	88.16	103.13	50.77	98.36	87.68	40.56	176.56	55.03	60.18	47.89	30.05	96.18	77.22	100.19	91.82	19.9	139	89.66	104.49	106.51	71.28	86.42	115.32	48.25	167.78
LYZ	45.62	29227.1	646.51	304.15	1073.34	168.38	425.18	13792.82	2651.79	2530.85	485.02	605.56	33.26	2120.77	518.71	150.69	846.56	1259.95	23.08	25580.19	1971.34	802.6	356.22	234.4	1365.05	2333.19	14044.02	486.23	503.88	15062.87	325.62	928.4	1138.89	427.67	742.71	2543.3	730.98	8408.79
MAML2	27.23	71.23	96.94	96.12	76.06	89.8	69.49	73.13	35.2	119.36	97.68	74.87	229.07	103.86	78.87	87.03	105.38	36.03	30.07	93.47	132.25	112.97	79.81	98.17	60.42	95.79	43.7	81.39	52.54	41.7	37.75	125.04	83.57	61.41	113.43	33.17	94.09	85.14
MAP1LC3A	118.83	55.4	110.98	73.17	200.72	188.02	223.11	247.51	87.81	105.23	191.99	193.35	3.78	120.77	256.32	153.91	107.72	145.33	67.83	83.09	79	121.35	219.28	174.3	276.22	52.78	90.6	239.98	139.7	78.77	141.58	429.94	229.42	255.5	278.18	124.8	361.87	187.81
MAP3K12	50.22	150.37	139.06	78.91	86.63	72.96	50.29	61.88	68.08	42.38	205.46	47.72	161.78	105.07	78.87	118.46	74.94	91.88	46.15	65.78	109.17	96.19	68.05	80.14	96.18	54.74	84.2	116.86	53.33	83.4	84.95	59.95	63.91	100.89	72.92	55.29	101.32	92.65
MAP3K5	20.51	166.2	175.83	91.82	90.85	56.13	145.39	129.38	67.31	88.67	168.41	148.1	51.41	170.29	141.05	110.4	96.01	55.25	35.66	231.95	120.71	97.67	142.82	92.16	171.4	54.74	144.96	135.64	29.45	213.13	108.54	191.85	198.28	168.87	156.64	192.72	159.22	180.3
MAP3K7	111.4	213.68	140.4	127.69	160.58	201.12	175.56	146.25	251.45	190	138.1	208.98	154.98	161.84	182	173.25	105.38	139.33	88.81	176.56	98.52	185.48	174.75	148.25	172.64	115.34	153.49	175.29	111.04	120.47	84.95	169.58	206.47	162.29	191.75	175.35	221.95	197.82
MAP3K8	9.55	110.8	86.91	51.65	25.35	17.77	59.43	157.5	17.79	49.2	101.05	39.49	5.29	95.41	68.25	28.2	50.35	43.24	6.99	124.63	35.5	49.82	77.29	30.05	85.08	102.63	52.23	85.56	13.53	97.3	51.91	106.2	93.41	93.21	70.22	41.07	79.61	147.74
MAPK10	5.3	23.74	37.44	47.34	23.24	14.03	38.4	22.5	10.44	7.79	94.31	22.21	15.12	25.36	24.27	32.23	19.91	6.01	6.99	27.7	15.98	31.57	19.32	20.03	27.13	33.23	11.72	25.04	20.7	69.5	18.88	22.27	13.11	33.99	29.71	26.85	16.89	22.54
MARCO	1.77	538.16	123.02	61.69	29.58	11.23	25.6	388.13	17.02	97.92	188.62	13.99	10.58	8.45	115.27	27.4	21.08	37.23	1.4	436.2	16.86	28.12	36.97	14.02	9.86	39.1	417.82	419.45	13.93	74.13	113.26	17.13	44.24	29.61	24.31	28.43	38.6	170.28
MCAM	19.8	79.14	536.86	58.82	179.59	23.39	93.27	140.63	214.31	54.56	306.51	244.36	218.48	170.29	169.87	63.66	45.67	58.25	53.15	62.31	1297.66	56.73	45.37	50.09	88.78	56.69	135.37	83.47	150.05	106.57	117.98	184.99	109.79	82.24	137.74	71.09	127.86	80.13
MELK	151.01	7.91	36.1	50.21	105.64	239.47	19.2	33.75	104.83	50.67	16.84	23.04	20.41	9.66	47.02	61.24	49.18	24.62	202.8	6.92	27.52	64.62	36.97	168.29	54.26	29.32	81.01	31.3	137.71	18.53	18.88	17.13	55.72	35.09	56.72	113.74	21.71	32.55
MERTK	6.01	39.57	70.2	21.52	16.9	22.45	69.49	11.25	57.64	111.56	84.21	118.48	10.58	49.52	57.63	25.79	48.01	12.01	11.89	69.24	67.46	26.14	43.69	36.06	29.59	47.9	42.64	41.74	12.34	199.23	42.47	37.68	67.19	33.99	35.11	45.81	115.8	40.07
MET	72.5	39.57	42.12	33	25.35	190.83	28.35	16.88	430.94	21.92	47.16	152.21	8.32	39.85	34.88	38.68	377.03	52.85	136.36	41.54	23.96	41.93	50.41	178.3	27.13	291.28	267.54	37.56	250.35	41.7	51.91	37.68	29.5	30.7	56.72	47.39	41.01	30.05
MFGE8	948.86	379.88	2162.83	1226.64	308.48	2094.46	406.9	630.01	987.21	1691.94	869	2005.1	4217.69	739.13	1186.05	697.84	4423.66	1223.32	1009.79	446.59	4076.7	931.85	388.15	2991.09	607.92	341.13	958.23	928.63	1603.96	398.46	1212.83	443.64	606.31	648.08	769.71	511.82	793.71	430.71
MFNG	3.89	63.31	68.86	43.04	38.03	14.97	42.06	208.13	15.09	38	70.73	24.68	12.85	60.39	45.5	32.23	26.93	33.03	6.29	124.63	31.07	31.57	45.37	22.04	87.55	15.64	49.03	100.17	25.87	111.2	61.35	58.24	62.27	71.28	78.32	45.81	48.25	120.2
MGMT	161.98	134.54	127.03	74.6	73.95	22.45	155.44	219.38	87.04	136.41	124.62	111.9	191.27	141.3	119.82	74.94	65.57	24.02	173.43	176.56	45.27	84.85	155.43	34.06	131.94	186.69	84.2	166.94	7.16	143.63	155.73	140.46	145.84	148.04	126.94	186.4	123.04	182.8
MICB	124.84	150.37	30.75	24.39	40.14	31.81	24.69	33.75	58.41	59.43	43.79	83.92	29.48	42.27	51.57	62.85	63.23	357.33	108.39	128.09	38.17	22.69	32.77	26.04	57.96	32.26	70.35	58.43	16.32	74.13	33.03	46.25	63.91	32.9	72.92	41.07	21.71	97.66
MKI67	71.79	71.23	34.1	98.99	61.27	138.45	26.52	45	46.42	79.9	40.42	49.37	19.66	16.91	56.12	69.3	19.91	90.68	71.33	31.16	42.6	80.9	45.37	136.23	44.39	75.26	31.98	50.08	39.8	32.43	61.35	25.69	65.55	39.48	59.42	139.01	14.47	40.07
MLH1	97.61	102.88	151.1	120.51	116.21	107.58	118.87	123.75	91.29	98.9	134.73	77.34	89.21	140.1	118.3	127.32	121.77	102.09	97.2	103.86	122.49	104.09	98.3	132.23	98.65	83.08	103.39	139.82	133.33	64.87	136.86	102.77	86.85	99.79	118.83	123.22	86.85	125.21
MME	34.3	63.31	117	35.87	46.48	18.71	46.63	56.25	5.8	20.46	127.99	375.18	10.58	200.48	34.88	24.98	107.72	111.7	9.09	100.4	33.73	27.13	36.97	24.04	156.6	33.23	28.78	102.25	25.87	92.67	122.7	255.22	176.98	135.98	91.83	104.26	62.72	75.12
MMP1	6.72	55.4	88.92	40.17	44.37	73.9	5.49	22.5	3.48	74.54	23.58	13.99	6.05	12.08	40.95	97.5	18.73	34.23	3.5	24.23	20.41	41.44	7.56	70.12	12.33	1.95	36.24	14.61	7.16	97.3	33.03	39.4	65.55	44.96	27.01	878.31	19.3	52.59
MMP7	4.24	79.14	3.34	22.95	21.13	10.29	42.98	33.75	1.93	37.51	20.21	111.9	13.61	13.28	30.33	1.61	36.3	14.41	2.1	13.85	7.1	23.68	184.83	10.02	17.26	17.59	4.26	8.35	2.39	64.87	51.91	29.12	234.33	55.93	8.1	6.32	24.12	47.58
MMP9	15.91	110.8	1284.99	51.65	196.5	57.06	47.55	1766.29	61.12	331.28	23.58	496.95	6.8	24.15	97.07	45.13	39.81	47.44	13.29	242.34	3766.05	122.34	42.85	100.17	96.18	74.29	365.6	18.78	36.62	250.2	56.63	27.41	91.77	184.23	40.51	143.75	41.01	448.23
MMRN2	10.26	102.88	165.81	60.26	38.03	20.58	99.67	33.75	12.77	111.56	377.24	93.8	28.73	129.23	77.35	62.85	62.06	21.62	13.29	121.17	36.39	68.08	71.41	30.05	99.88	17.59	21.32	204.51	17.11	129.73	155.73	78.79	103.24	116.24	70.22	107.42	89.26	80.13
MRC1	5.3	316.57	121.01	130.56	65.5	18.71	67.66	101.25	56.48	156.87	289.67	73.23	16.63	183.57	68.25	72.52	86.65	32.43	6.99	214.64	45.27	174.63	76.45	20.03	123.31	146.62	386.91	310.93	8.76	282.63	94.38	212.4	119.62	66.89	102.63	97.94	110.97	260.43
MRC2	51.99	530.25	816.99	284.07	156.35	321.79	226.76	720.02	33.27	218.74	1566.22	402.34	43.85	776.57	717.39	711.54	364.15	141.73	49.65	775.47	328.41	471.1	757.81	336.57	537.64	130	101.26	970.36	46.17	569.9	254.84	644.05	399.84	969.38	772.41	417.04	424.6	393.14
MRE11A	59.06	39.57	53.49	84.65	92.97	39.29	44.8	39.38	52.22	41.41	74.1	56.77	58.21	79.71	78.87	60.44	87.82	39.64	61.54	31.16	47.04	90.77	60.49	46.08	60.42	109.48	56.49	50.08	59.7	32.43	61.35	59.95	88.49	62.51	59.42	63.19	89.26	35.06
MS4A1	1.06	7.91	20.73	12.91	2.11	3.74	7.31	33.75	2.71	5.85	20.21	4.94	2.27	25.36	13.65	3.22	24.59	8.41	2.8	6.92	4.44	9.87	11.76	2	38.23	1.95	11.72	12.52	5.17	9.27	4.72	6.85	14.75	63.6	16.2	15.8	4.82	27.55
MS4A2	3.89	39.57	24.74	58.82	29.58	5.61	48.46	28.13	1.93	11.2	87.57	27.97	3.02	150.97	59.15	51.57	14.05	9.01	1	13.85	12.43	71.04	44.53	12.02	43.16	10.75	5.33	102.25	4.78	32.43	4.72	106.2	22.94	48.25	59.42	30.01	79.61	12.52
MS4A4A	13.44	324.48	217.95	68.86	48.6	27.13	65.83	90	67.7	251.87	245.88	155.5	17.39	163.04	98.58	32.23	120.6	31.83	14.69	418.89	91.42	99.65	89.06	48.08	117.15	347.97	225.97	373.54	17.91	463.33	160.45	200.41	157.31	77.86	78.32	132.69	188.17	585.96
MS4A6A	8.13	221.6	97.61	64.56	35.92	19.64	38.4	84.38	15.09	61.38	124.62	40.32	15.88	73.67	66.73	20.15	66.74	23.42	11.89	86.55	45.27	50.32	32.77	18.03	67.82	60.6	42.64	77.21	13.53	134.37	99.1	70.23	60.63	48.25	45.91	82.14	120.62	80.13
