SampleName	100001101-Pre	100001106-Pre	100001107-Pre	100001109-Pre	100001115-Pre	100005101-Pre	100001104-Pre	100001105-Pre	100001110-Pre	100001113-Pre	100001114-Pre	100001116-Pre	100004103-Pre	100005103-Pre	100004102-Pre	100006101-Pre	100001103-Pre	100001111-Pre	100001101-Post	100001106-Post	100001107-Post	100001109-Post	100001115-Post	100005101-Post	100001104-Post	100001105-Post	100001110-Post	100001113-Post	100001114-Post	100001116-Post	100004103-Post	100005103-Post	100004102-Post	100006101-Post	100001103-Post	100001111-Post	100001112-Post	100001102-Post
Patient	100001101	100001106	100001107	100001109	100001115	100005101	100001104	100001105	100001110	100001113	100001114	100001116	100004103	100005103	100004102	100006101	100001103	100001111	100001101	100001106	100001107	100001109	100001115	100005101	100001104	100001105	100001110	100001113	100001114	100001116	100004103	100005103	100004102	100006101	100001103	100001111	100001112	100001102
Timepoint	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post
Response	PD	PD	PD	PD	PD	PD	SD	SD	SD	SD	SD	SD	SD	SD	PR	PR	PR	PR	PD	PD	PD	PD	PD	PD	SD	SD	SD	SD	SD	SD	SD	SD	PR	PR	PR	PR	PR	PD
BRCA2	81.69	15.83	30.75	74.6	50.71	51.45	17.37	123.75	74.66	22.41	47.16	19.75	28.73	30.19	45.5	52.38	78.45	36.03	131.47	48.47	27.52	61.17	33.61	64.11	32.06	37.14	37.31	33.39	54.92	23.17	37.75	29.12	39.33	28.51	59.42	80.56	24.12	42.57
BRD3	96.9	118.71	197.9	133.42	179.59	345.18	160.93	56.25	107.54	106.2	195.36	131.64	127.01	317.63	315.47	173.25	257.6	218.6	102.8	162.71	96.75	152.43	184.83	482.82	161.54	108.5	141.76	298.41	103.08	148.27	320.9	229.53	201.56	281.82	259.27	178.5	151.99	190.31
BRD4	413.43	277	352.34	385.93	281.01	432.18	373.98	84.38	437.13	235.3	303.14	376.83	370.44	339.37	360.97	385.99	285.7	317.69	413.98	318.5	279.59	448.9	320.1	360.61	347.74	466.25	327.22	310.93	314.03	338.23	245.4	346.01	355.59	342.13	383.51	341.21	357.05	280.46
BRIP1	65.78	23.74	26.07	68.86	48.6	33.68	24.69	16.88	79.69	35.08	16.84	22.21	26.46	13.28	31.85	54.8	40.98	48.04	106.29	10.39	25.74	43.9	31.09	28.05	30.83	51.81	54.36	27.13	114.23	32.43	37.75	23.98	40.97	23.03	40.51	58.45	19.3	35.06
BTLA	1.41	39.57	11.37	22.95	27.47	1.87	11.89	5.63	6.96	20.46	10.1	5.76	4.54	14.49	18.2	8.06	17.56	14.41	1.4	31.16	5.33	20.23	15.96	2	24.66	5.86	31.98	25.04	9.15	9.27	9.44	20.55	44.24	12.06	13.5	14.22	14.47	17.53
C10orf54	4.24	63.31	65.52	51.65	42.26	21.52	42.06	50.63	8.51	64.79	74.1	30.44	12.1	76.09	77.35	32.23	49.18	12.61	3.5	90.01	47.04	41.44	48.73	16.03	87.55	30.3	34.11	62.6	11.14	55.6	23.6	46.25	70.46	67.99	54.01	44.23	55.49	97.66
C1QA	13.79	553.99	216.62	70.3	88.74	74.84	72.24	4455.1	176.01	270.87	336.82	170.31	25.7	138.89	78.87	30.62	129.97	90.08	13.29	910.49	193.49	83.37	69.73	78.13	316.91	363.61	684.29	235.81	37.81	1241.73	273.71	130.18	252.36	73.47	118.83	123.22	125.45	921.51
C1QB	19.1	1527.44	432.57	156.38	171.14	185.22	117.95	15294.73	596.12	832.57	532.18	525.75	27.97	260.87	268.45	131.35	381.71	329.1	28.67	2786.85	433.14	178.08	104.18	246.42	823.72	1036.1	2439.8	707.43	155.62	3275.75	660.69	349.43	688.25	225.9	348.4	431.25	267.79	3405.58
C1R	50.22	1092.16	2039.81	1120.48	604.28	186.15	966.49	208.13	137.33	1363.1	4247.32	532.33	48.38	2983.08	2005.06	391.63	696.69	405.97	4.9	1273.99	729.6	1575.11	1129.16	186.32	1472.33	507.3	442.34	3244.98	61.29	1607.76	386.97	2026.37	1009.43	951.84	1001.98	600.28	1006.01	1677.75
C1S	38.2	743.93	1144.59	744.59	388.77	123.48	580.63	50.63	132.69	1081.03	2024.3	362.84	32.51	2474.63	1278.57	228.05	804.41	327.3	10.49	844.71	510.36	888.93	582.22	130.22	774.39	456.47	338.95	1709.09	55.72	657.93	391.69	1545.05	673.5	709.49	513.14	341.21	793.71	605.99
C2	8.84	427.37	183.86	73.17	59.16	38.35	68.58	416.26	148.93	131.05	198.72	130	12.1	167.87	128.92	58.83	170.95	527.28	13.29	744.31	79.88	72.02	75.61	38.06	228.13	267.82	350.67	252.5	29.85	222.4	141.58	114.77	263.83	97.6	178.25	120.06	130.27	668.6
C5	2.12	15.83	22.06	25.82	10.56	46.77	18.29	28.13	10.06	12.18	20.21	15.63	16.63	20.53	22.75	9.67	16.39	4.2	3.5	24.23	10.65	16.28	19.32	24.04	14.8	16.62	20.25	10.43	29.85	37.07	33.03	5.14	11.47	10.97	48.61	12.64	19.3	42.57
C5AR1	1	102.88	14.04	27.26	12.68	21.52	4.57	174.38	15.86	25.82	33.68	27.15	5.29	26.57	15.17	5.64	33.96	11.41	5.59	200.79	14.2	13.32	14.28	12.02	16.03	27.37	55.43	29.22	11.54	278	33.03	32.55	26.22	8.77	35.11	52.13	16.89	140.23
C7	1	55.4	130.37	25.82	16.9	7.48	47.55	16.88	1.55	12.18	680.38	46.08	18.14	95.41	27.3	18.53	14.05	7.81	4.9	20.77	45.27	7.4	40.33	14.02	24.66	16.62	4.26	43.82	7.56	50.97	103.82	37.68	9.83	16.45	5.4	14.22	45.84	20.03
CAMK2B	1	15.83	7.35	11.48	8.45	5.61	14.63	56.25	3.87	1	16.84	3.29	42.34	1.21	7.58	5.64	2.34	2.4	2.1	3.46	18.64	2.47	10.08	2	8.63	13.68	2.13	10.43	1	4.63	160.45	1.71	1.64	3.29	10.8	6.32	7.24	10.02
CBLC	14.15	31.66	4.01	48.78	86.63	17.77	132.58	11.25	3.09	26.79	16.84	22.21	6.8	71.26	151.67	59.63	37.47	17.42	1.4	45.01	7.99	73.5	134.42	20.03	128.24	4.89	10.66	154.42	13.13	23.17	28.32	150.74	150.76	135.98	248.47	164.29	142.34	120.2
CCL13	1	55.4	167.14	154.94	69.72	7.48	52.12	39.38	20.5	44.82	161.67	37.02	6.05	256.04	69.77	22.56	29.27	34.83	4.2	45.01	16.86	136.15	84.01	6.01	34.53	22.48	85.27	649	10.75	37.07	18.88	140.46	52.44	9.87	43.21	23.7	28.95	37.56
CCL14	2.48	47.49	200.57	73.17	31.69	4.68	117.04	45	4.26	115.95	579.33	120.12	9.83	154.59	43.98	115.23	50.35	9.01	3.5	86.55	36.39	74	151.23	16.03	125.78	32.26	22.38	511.27	5.57	74.13	80.23	123.33	55.72	199.58	21.61	18.96	65.14	100.16
CCL18	49.87	807.25	432.57	68.86	211.29	77.64	23.77	56.25	167.11	120.82	188.62	51.01	5.29	45.89	81.9	202.26	7.03	48.04	55.24	792.78	33.73	221	33.61	22.04	28.36	5945.87	812.2	1314.69	22.69	120.47	28.32	107.91	119.62	71.28	16.2	145.33	24.12	160.26
CCL19	1.06	55.4	501.43	487.79	230.3	15.9	327.35	11.25	14.31	159.3	458.08	49.37	27.22	334.54	238.12	153.11	172.12	148.34	1.4	51.93	88.76	450.88	129.38	16.03	588.19	21.5	105.52	206.59	21.89	23.17	42.47	176.43	275.3	183.13	40.51	58.45	41.01	37.56
CCL2	6.37	174.11	121.01	114.77	40.14	43.03	86.87	11.25	50.29	204.61	114.52	78.99	11.34	144.93	94.03	69.3	137	67.26	4.2	107.32	204.15	97.67	62.17	38.06	101.11	94.81	81.01	58.43	15.52	264.1	37.75	337.44	188.45	61.41	183.65	90.04	48.25	245.4
CCL20	2.48	23.74	11.37	21.52	12.68	14.97	15.54	11.25	6.58	5.85	30.31	9.05	6.05	2.42	12.13	7.25	16.39	10.21	5.59	10.39	21.3	4.44	13.44	8.01	11.1	4.89	14.92	20.87	9.95	37.07	4.72	10.28	8.19	14.26	8.1	34.75	16.89	20.03
CCL21	1.41	39.57	125.02	206.59	52.82	36.48	50.29	28.13	1	73.08	360.4	160.44	9.83	330.92	385.24	250.61	77.28	123.11	1.4	27.7	138.46	285.13	191.55	76.13	144.27	9.77	5.33	104.34	33.83	13.9	37.75	238.09	191.73	164.49	75.62	99.52	120.62	262.93
CCL22	3.89	55.4	12.7	64.56	50.71	6.55	17.37	61.88	6.19	20.46	23.58	14.81	9.07	28.99	34.88	7.25	23.42	9.61	5.59	20.77	7.1	77.45	28.57	6.01	17.26	10.75	21.32	33.39	15.92	55.6	18.88	15.42	29.5	16.45	24.31	18.96	19.3	25.04
