comparison	log_odds_ratio	norm_interactions	interactions_counts	expected_counts	condition
Mo5_vs_CD4_1	0.594513693687842	1.74927543672408e-05	28	7.12272027057189	untreated
Mo6_vs_CD4_1	0.359364736969066	8.7464084205702e-06	14	6.12021108017536	untreated
Mo7_vs_CD4_1	0.344141030339	1.24954046628113e-06	2	0.905546339806342	untreated
Mo8_vs_CD4_1	0.263029710514001	1.24954046628113e-06	2	1.09149562512183	untreated
N1_vs_CD4_1	-0.105886948961499	0.000145564248586346	233	297.332961387295	untreated
N2_vs_CD4_1	-0.275485750384391	7.49693042818869e-06	12	22.6292737155762	untreated
N3_vs_CD4_1	-4.84418378775546	6.24738996190756e-11	0	6.98527949446914	untreated
N4_vs_CD4_1	-4.3625217471152	6.24738996190756e-11	0	2.3042083554402	untreated
N5_vs_CD4_1	0.366557580649152	3.7484402245345e-05	60	25.7984963174749	untreated
N6_vs_CD4_1	-0.193852843836195	0.000547271423137002	876	1368.85359089047	untreated
N7_vs_CD4_1	-0.364670650442828	0.000176801198395883	283	655.32575937728	untreated
NK1_vs_CD4_1	0.598221629590346	0.000323614862500711	518	130.649638980802	untreated
NK2_vs_CD4_1	-0.127748866659414	6.24801470090375e-07	1	1.34212292272096	untreated
NKT_vs_CD4_1	0.656756497399635	5.93502671120214e-05	95	20.9395606446659	untreated
S_vs_CD4_1	0.565128425802542	5.62271343961642e-06	9	2.44973388307841	untreated
T1_vs_CD4_1	-0.192083254946305	1.24954046628113e-06	2	3.11268350898579	untreated
T10_vs_CD4_1	-0.330709585507687	5.56018331348769e-05	89	190.589986864671	untreated
T11_vs_CD4_1	-0.433221102395771	0.000152436377544444	244	661.6237808234	untreated
T12_vs_CD4_1	-0.372985422768728	0.000464181136643631	743	1753.77669624506	untreated
T2_vs_CD4_1	-3.68586642139006	6.24738996190756e-11	0	0.485139259962638	untreated
T3_vs_CD4_1	-0.961855728277855	6.24801470090375e-07	1	9.16007765750676	untreated
T4_vs_CD4_1	-0.640380496051459	1.56185373786685e-05	25	109.225047411844	untreated
T5_vs_CD4_1	-0.620115977742918	3.68596632491542e-05	59	246.019043391757	untreated
T6_vs_CD4_1	-0.613207801550893	4.81049651805878e-05	77	316.008737434198	untreated
T7_vs_CD4_1	0.193151449502403	0.000149937421559681	240	153.836706384489	untreated
T8_vs_CD4_1	0.225403545945045	0.000241149315003531	386	229.712099544742	untreated
T9_vs_CD4_1	0.136715884350827	4.37323544723491e-06	7	5.10961713824338	untreated
Treg1_vs_CD4_1	0.540058082490058	1.87427946247189e-06	3	0.865122582129063	untreated
Treg2_vs_CD4_1	0.679033098975856	9.3710911902513e-05	150	31.4093138830812	untreated
CD4_2_vs_CD4_2	-2.17077784555262	6.24738996190756e-11	0	0.014817599273097	untreated
CD4_3_vs_CD4_2	-2.00445524080701	6.24738996190756e-11	0	0.0101031137060291	untreated
