,E3,E1,T2,T9,T4,T10,S,L,T1,DC4,DC3,CD8_3,DC2,M6,M13,M5,Mo8,M12,M2,M11,CD4_3,Mo3,M3,Mo4,M9,M8,NK2,N4,N5,N2,N3,T6,Mo2,Mo7,M1,M4,Mo6,B2,CD4_2,NKT,NK1,CD8_5,CD8_4,CD45_2,B1,CD4_1,Treg2,CD8_2,CD4_4,CD8_1,CD8_6,N1,Treg1,T3,CD45_1,T5,T12,T7,T11,T8,E2,DC1,M10,Mo1,N7,Mo5,M7,N6
N3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,1,2,0,0,0,2,5,0,1,29
T6,1,134,1,12,242,110,3,35,6,0,4,9,0,141,1,0,0,1,59,272,1,7,1,11,7,6,2,2,5,83,0,2232,30,0,7078,0,0,0,3,14,129,7,1,38,5,63,21,15,17,3,6,119,12,17,54,442,1552,84,1622,206,53,4,7,1404,612,2,239,301
Mo2,1,179,1,1,2,25,1,32,1,0,2,4,0,7,0,5,2,6,39,87,0,21,118,57,0,46,0,0,15,6,0,30,382,4,409,2,15,2,0,14,256,13,1,46,5,112,46,26,21,7,13,72,17,4,96,54,388,79,76,164,214,13,31,1718,94,91,783,257
Mo7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,2,0,0,0,0,1,0,0,0,4,2,3,0,1,0,0,0,0,2,0,0,0,2,2,0,0,0,0,1,0,0,1,3,18,3,0,5,3,0,1,17,1,0,21,2
M1,9,945,4,129,1405,630,30,401,19,4,33,156,3,797,7,8,2,9,732,2897,3,187,117,93,31,128,3,19,71,492,1,7078,409,3,65118,15,5,1,2,112,1744,103,14,560,70,758,290,175,169,72,138,806,171,124,910,2667,7572,655,7871,1604,684,57,128,16350,3686,132,4389,1885
M4,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,6,1,0,11,3
Mo6,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,0,22,5,0,3,0,0,2,0,0,0,15,1,5,0,10,0,0,0,8,1,0,1,0,2,1,1,0,0,0,3,0,1,4,4,71,2,4,26,1,0,2,31,2,8,108,10
B2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3
CD4_2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,4,0,0,0,5,0,0,13,2
NKT,0,20,0,1,0,3,0,13,0,0,0,1,1,0,0,0,0,0,6,15,0,5,4,8,0,4,0,0,2,0,0,14,14,0,112,0,0,0,0,16,63,4,1,19,0,20,16,5,8,1,5,7,2,0,25,13,33,11,19,18,17,3,2,282,16,6,81,23
NK1,7,288,7,7,28,43,3,80,3,0,4,15,0,15,0,1,0,6,123,209,2,51,118,71,2,68,1,2,27,24,0,129,256,0,1744,1,8,0,1,63,916,38,10,123,17,258,114,59,60,20,47,142,34,3,270,157,528,145,282,349,267,23,56,3177,228,41,1105,398
CD8_5,0,35,0,0,11,0,0,67,1,0,0,1,0,2,0,0,0,0,3,31,0,0,2,2,0,2,0,0,0,1,0,7,13,2,103,0,1,0,0,4,38,10,0,31,2,22,8,7,10,3,8,2,6,1,18,27,53,14,12,13,5,3,2,320,5,5,36,14
