,E3,E1,T2,T9,T4,T10,S,T1,DC4,DC3,CD8_3,DC2,M6,M13,M5,Mo8,M12,M2,M11,CD4_3,Mo3,M3,Mo4,M9,M8,NK2,N4,N5,N2,N3,T6,Mo2,Mo7,M1,M7,M4,Mo5,Mo6,B2,CD4_2,NKT,NK1,CD8_5,CD8_4,CD45_2,N1,CD8_1,CD4_1,Treg2,CD8_2,CD8_6,B1,Treg1,CD4_4,CD45_1,T3,T7,T5,T11,T8,DC1,E2,Mo1,N7,N6,M10,L,T12
T3,0,20,0,1,32,5,0,2,0,0,0,0,3,0,0,0,0,9,68,0,0,0,3,0,0,0,0,1,1,0,17,3,0,361,25,0,0,0,0,0,0,2,3,0,5,2,0,1,1,2,0,0,0,0,2,2,8,82,45,3,0,15,49,22,8,0,0,76
T7,6,174,3,2,33,26,1,11,0,1,6,0,1,0,0,3,5,158,326,0,11,132,34,0,46,0,0,29,1,0,36,43,3,1045,1090,0,8,17,3,1,10,67,13,1,52,27,3,65,40,21,18,22,27,18,65,8,274,205,95,201,14,393,575,59,156,70,153,798
T5,26,372,35,2,1504,305,2,8,0,4,16,1,48,0,18,2,9,1097,3747,1,10,91,47,17,22,0,4,9,21,0,340,69,0,11488,1703,0,6,7,1,2,6,117,75,2,189,82,2,108,64,77,36,5,60,24,78,82,205,5488,2135,426,36,303,1144,690,333,55,37,4161
T11,2,265,6,25,1147,461,3,1,0,2,30,0,184,0,8,0,3,430,1629,1,19,21,19,13,21,1,5,6,68,1,676,49,1,14789,1662,3,16,5,0,0,6,80,35,1,93,165,2,55,30,28,31,5,36,12,74,45,95,2135,4724,610,7,82,1311,1389,578,14,20,4837
T8,5,305,19,8,131,101,1,5,3,9,10,1,57,1,12,8,13,279,414,0,20,532,150,0,135,1,3,103,10,0,74,198,3,2722,5030,0,25,74,1,6,22,212,27,0,66,152,5,182,99,57,33,21,36,13,159,3,201,426,610,1758,43,481,838,250,636,154,100,2187
DC1,2,35,2,0,1,5,0,0,0,4,1,0,1,0,0,1,0,31,52,0,0,38,17,0,13,0,0,3,0,0,3,20,0,122,146,0,0,2,0,0,4,19,3,0,14,9,1,18,20,5,3,2,4,3,10,0,14,36,7,43,18,47,57,12,65,23,11,117
E2,111,872,7,2,19,53,4,17,4,15,6,2,2,0,1,9,3,226,350,7,69,468,101,2,104,4,0,61,4,0,47,241,7,1350,2136,1,28,36,1,2,26,241,30,2,111,188,19,267,88,79,33,20,59,55,219,15,393,303,82,481,47,4788,1470,254,869,161,28,1351
Mo1,39,1941,8,19,356,241,7,27,2,12,32,2,55,0,2,4,5,718,1597,4,196,199,152,6,226,5,7,90,54,0,651,505,13,14430,4500,8,99,40,3,5,65,805,99,8,314,304,39,628,258,142,146,50,190,101,597,49,575,1144,1311,838,57,1470,10968,1142,1358,147,36,3542
N7,5,175,1,8,311,1086,1,3,1,8,17,0,44,0,0,0,0,183,468,0,164,24,19,32,27,0,26,71,102,0,258,69,1,6178,916,2,7,5,0,0,6,104,7,0,40,524,7,69,31,26,28,6,26,13,97,22,59,690,1389,250,12,254,1142,3826,1937,19,3,1594
N6,22,456,7,12,130,979,4,8,0,29,23,1,17,2,10,1,6,283,257,6,162,419,245,10,82,0,3,287,36,0,97,344,7,2505,2468,1,8,20,1,0,22,407,20,5,79,1079,21,284,182,67,42,26,64,41,255,8,156,333,578,636,65,869,1358,1937,6088,265,48,1702
M10,2,111,2,1,0,22,0,1,0,8,0,0,0,0,0,4,1,64,42,3,2,168,81,0,17,0,0,15,0,0,4,54,1,88,416,0,3,5,0,1,5,58,17,0,21,34,2,49,27,11,3,6,10,10,38,0,70,55,14,154,23,161,147,19,265,136,36,272
L,0,9,3,7,6,11,9,10,0,0,0,6,2,0,0,18,5,39,91,0,2,112,1,0,10,0,0,18,0,0,1,12,0,56,449,0,0,0,2,0,3,5,2,0,24,3,0,2,8,0,0,3,2,3,5,0,153,37,20,100,11,28,36,3,48,36,8370,258
T12,34,2010,28,25,1519,619,3,30,1,25,25,5,128,6,44,26,34,1718,4350,1,62,945,320,26,179,5,8,81,88,0,818,510,5,22094,8138,6,49,197,3,8,23,434,150,1,339,354,19,419,215,163,84,53,139,73,309,76,798,4161,4837,2187,117,1351,3542,1594,1702,272,258,13082
