,E3,E1,T2,T9,T3,T10,S,L,T1,DC4,DC3,CD8_3,DC2,M6,M13,M5,Mo8,M12,M2,M11,CD4_3,Mo3,M3,Mo4,M9,M8,NK2,N4,N5,N2,N3,T6,Mo2,Mo7,M1,M4,Mo6,B2,CD4_2,NKT,NK1,CD8_5,CD8_4,CD45_2,CD4_1,CD8_2,CD4_4,B1,CD8_1,Treg1,CD8_6,Treg2,T4,N1,CD45_1,T12,T5,T8,T11,T7,E2,N7,N6,Mo1,DC1,M10,M7,Mo5
CD8_1,0,11,0,0,3,1,0,2,0,0,0,0,0,1,0,0,0,0,8,5,10,2,7,1,0,8,0,0,5,0,0,1,11,2,56,0,0,1,0,0,20,1,0,7,78,26,3,27,20,1,8,14,1,3,39,67,12,13,6,33,17,7,15,157,1,1,60,0
Treg1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,2,0,10,0,0,0,0,0,1,0,0,0,8,2,1,1,1,0,0,1,0,0,4,3,2,2,1,4,1,0,0,14,0,0,9,0
CD8_6,0,20,0,0,1,5,0,3,0,0,0,0,0,0,0,0,0,1,10,8,0,6,8,2,0,8,0,0,3,0,0,7,7,0,117,0,2,0,0,4,30,4,0,3,34,14,2,12,8,0,12,13,1,8,49,55,7,17,15,35,29,23,41,207,1,2,137,2
Treg2,1,29,1,1,2,8,4,4,1,1,0,0,1,1,0,0,2,1,12,19,11,7,17,4,0,16,0,1,6,3,0,20,44,1,172,0,2,0,0,10,62,3,0,5,91,25,2,27,14,1,13,42,0,21,43,100,10,33,29,53,46,30,53,326,7,3,181,6
T4,0,6,0,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,2,0,0,0,0,0,0,0,1,0,37,3,1,165,0,0,0,0,0,7,0,0,6,2,2,2,3,1,0,1,0,6,2,8,76,33,5,31,7,2,12,8,128,0,1,12,4
N1,1,48,2,3,4,105,4,8,0,0,2,4,0,13,1,0,0,1,13,15,0,89,20,12,0,29,1,12,56,27,2,87,76,4,476,2,4,0,2,8,146,0,0,3,46,19,1,6,3,0,8,21,2,450,54,286,17,125,92,91,80,647,831,645,12,15,648,12
CD45_1,0,146,0,2,10,30,3,32,0,1,3,1,1,8,2,0,5,0,83,83,18,37,73,26,0,63,0,1,5,7,0,51,169,5,761,1,3,2,2,22,224,7,0,44,270,113,20,143,39,4,49,43,8,54,416,443,72,165,81,327,201,154,192,1679,43,16,857,27
T12,1,583,3,11,1445,217,316,87,10,0,23,36,9,217,61,2,12,3,287,664,17,61,337,113,2,152,5,2,60,29,1,1757,371,14,6307,1,40,3,4,45,443,27,1,84,406,172,11,146,67,3,55,100,76,286,443,19642,2497,861,3165,1305,589,689,816,3882,96,52,4723,155
T5,3,128,2,1,391,18,21,1,3,0,4,8,0,10,6,0,0,0,33,195,1,3,12,5,0,5,0,0,3,2,0,266,40,0,1137,0,3,2,0,9,45,10,2,40,72,40,14,65,12,2,7,10,33,17,72,2497,906,58,444,110,49,58,40,662,3,4,194,10
T8,0,64,4,3,24,34,17,19,4,2,1,3,0,78,4,0,4,0,72,44,4,29,98,31,0,96,0,5,54,6,0,88,118,7,902,4,10,2,5,23,192,5,0,22,145,43,2,34,13,2,17,33,5,125,165,861,58,592,137,325,96,225,373,1153,21,11,2463,41
T11,1,61,2,6,510,65,64,3,0,0,4,22,0,66,13,0,0,0,38,192,1,18,12,14,4,11,1,2,5,31,0,961,45,0,3850,0,3,0,0,16,102,5,0,9,73,32,0,19,6,1,15,29,31,92,81,3165,444,137,1832,75,29,427,264,1069,5,3,374,12
T7,1,196,0,1,15,44,8,106,13,2,1,9,2,18,2,1,23,4,181,141,17,37,265,69,0,136,0,1,34,8,0,84,207,21,910,0,16,3,0,23,253,5,0,40,264,106,12,114,33,4,35,53,7,91,327,1305,110,325,75,1362,658,167,292,1956,109,28,3078,64
E2,1,273,0,1,2,30,0,29,8,0,0,3,2,2,2,0,6,0,65,64,11,29,74,23,0,68,0,0,18,5,0,35,179,5,393,0,7,0,0,16,228,5,1,19,246,62,2,67,17,1,29,46,2,80,201,589,49,96,29,658,1900,156,355,1363,30,17,994,24
N7,0,80,1,5,35,312,54,3,2,3,0,10,2,65,60,0,1,1,43,72,0,215,10,17,7,29,2,57,98,83,6,408,146,3,2619,2,2,0,4,22,231,3,0,23,96,28,1,13,7,0,23,30,12,647,154,689,58,225,427,167,156,2752,2332,1763,9,11,931,33
N6,0,156,0,4,9,340,11,3,5,3,0,10,3,54,5,0,2,1,92,42,2,248,52,53,3,71,1,25,219,34,9,166,300,2,1248,0,15,0,4,44,385,1,0,14,195,50,2,31,15,0,41,53,8,831,192,816,40,373,264,292,355,2332,4190,2162,35,22,2017,46
Mo1,2,1527,8,18,150,232,57,43,17,5,8,66,14,166,56,2,17,7,368,832,21,314,237,164,1,341,2,8,115,73,2,987,1583,37,10048,6,92,8,8,183,1839,55,2,456,1361,490,69,344,157,14,207,326,128,645,1679,3882,662,1153,1069,1956,1363,1763,2162,26470,130,66,6148,560
DC1,0,37,0,1,0,2,0,11,2,0,0,1,0,1,0,0,5,1,27,5,0,4,73,23,0,9,0,0,1,2,0,3,22,1,72,0,0,0,0,3,26,4,0,3,25,10,0,11,1,0,1,7,0,12,43,96,3,21,5,109,30,9,35,130,44,11,224,6
M10,0,8,0,0,2,4,0,33,0,0,0,0,1,1,0,0,0,0,15,5,4,7,21,7,0,5,0,0,2,0,0,8,12,0,59,1,2,0,0,1,14,3,0,2,19,6,0,15,1,0,2,3,1,15,16,52,4,11,3,28,17,11,22,66,11,6,78,3
M7,0,584,13,17,52,236,49,223,19,2,4,23,3,185,38,4,36,7,476,222,9,186,888,272,0,611,1,27,349,31,0,276,840,85,3968,10,106,5,19,89,967,11,0,61,681,268,15,138,60,9,137,181,12,648,857,4723,194,2463,374,3078,994,931,2017,6148,224,78,22476,390
Mo5,0,28,1,2,0,2,0,0,0,0,0,1,0,2,2,0,0,0,11,10,0,0,10,6,0,21,0,1,4,0,0,3,70,2,59,0,11,0,0,0,13,0,0,8,17,12,2,2,0,0,2,6,4,12,27,155,10,41,12,64,24,33,46,560,6,3,390,154
