,T11,E3,E1,T2,T9,T4,T10,S,L,T1,DC4,DC3,CD8_3,DC2,M6,M13,M5,Mo8,M12,M2,M11,CD4_3,Mo3,M3,Mo4,M9,M8,NK2,N4,N5,N2,T6,Mo2,Mo7,M1,M7,M4,Mo5,Mo6,B2,CD4_2,NKT,NK1,CD8_5,CD8_4,CD45_2,B1,CD4_1,CD8_2,Treg2,Treg1,CD8_1,N1,CD4_4,CD8_6,T3,CD45_1,T12,T8,T5,E2,DC1,M10,Mo1,N7,N6,T7
Mo7,2,0,2,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,7,2,0,1,20,6,0,8,0,0,0,0,0,12,0,2,83,0,0,5,0,0,1,12,0,0,0,0,6,2,4,0,1,0,0,1,0,3,17,5,0,5,1,4,20,0,6,13
M1,4720,41,1970,36,36,1429,602,405,265,108,5,95,72,52,77,566,37,4,56,9972,15349,11,134,389,153,40,346,2,0,54,84,1492,654,2,62300,9881,5,25,22,1,3,251,1268,412,28,384,146,1497,669,850,290,225,524,72,164,90,1395,17586,1865,8156,2574,248,402,13218,1414,1761,2566
M7,1452,38,1257,69,21,297,653,193,2298,63,11,94,28,42,37,229,70,49,98,4432,4753,21,116,4084,1034,7,1755,1,4,667,14,125,2047,83,9881,35414,0,70,553,7,25,381,1764,51,5,196,298,1905,518,972,117,276,1303,40,208,6,1509,12720,6326,3271,3577,382,1216,4407,555,3870,2194
M4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0
Mo5,4,0,8,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,6,3,0,0,7,3,0,9,0,0,0,0,0,16,0,25,70,0,2,1,0,0,3,10,0,0,0,3,15,3,5,1,2,0,0,0,0,6,18,12,3,13,0,3,31,0,15,7
Mo6,5,0,93,0,1,1,8,0,16,0,0,0,0,0,0,0,0,1,0,7,5,0,1,96,19,0,20,0,0,10,0,0,84,5,22,553,0,1,54,0,0,3,18,0,0,3,3,30,5,14,1,1,17,0,2,0,12,131,75,5,50,12,17,53,6,66,19
B2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,5,0,0,0,0,0,1,0,1,7,0,0,0,4,0,0,1,0,0,0,17,5,0,1,1,1,0,0,1,0,1,1,1,1,2,0,2,1,0,2,0
CD4_2,0,1,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,1,1,0,0,0,4,3,0,5,0,0,0,0,0,2,0,3,25,0,0,0,0,0,2,3,0,0,0,2,7,1,0,0,0,1,0,0,0,4,5,6,0,5,1,3,13,0,5,5
NKT,21,0,35,0,0,1,3,4,4,2,0,5,1,1,0,12,0,0,1,47,42,4,12,51,25,0,57,0,0,3,0,4,54,1,251,381,0,3,3,0,2,94,161,4,1,4,32,129,37,82,9,23,40,0,20,1,108,83,63,12,52,22,35,318,29,100,18
NK1,98,7,176,5,1,26,61,28,43,2,3,22,1,2,1,76,0,5,4,288,298,6,22,259,129,0,182,1,0,30,4,34,264,12,1268,1764,1,10,18,1,3,161,670,14,4,19,79,445,120,225,37,82,130,5,48,1,350,586,375,175,397,55,159,1275,103,519,129
CD8_5,26,1,37,0,0,7,1,5,29,1,0,0,1,1,0,19,0,0,1,82,131,1,1,2,2,0,3,0,0,0,0,20,13,0,412,51,0,0,0,0,0,4,14,24,0,5,1,21,17,12,5,3,1,1,1,0,12,90,9,65,19,2,1,152,4,6,16
CD8_4,1,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,8,1,0,0,1,0,1,0,0,0,0,1,1,0,28,5,0,0,0,0,0,1,4,0,0,0,0,6,2,7,1,4,0,1,0,0,2,9,0,3,1,0,1,16,1,0,1
CD45_2,50,2,21,2,1,12,9,7,273,5,0,0,0,0,0,3,2,1,3,180,379,0,1,19,4,0,9,2,0,0,1,2,16,0,384,196,0,0,3,0,0,4,19,5,0,24,5,24,17,15,3,4,4,3,4,0,22,339,30,208,85,9,24,142,11,17,60
B1,18,2,16,0,0,1,3,5,55,2,0,5,1,0,0,7,0,2,1,38,31,5,5,43,17,0,51,0,0,2,0,1,50,0,146,298,0,3,3,17,2,32,79,1,0,5,336,116,26,51,14,25,19,1,9,0,75,82,59,5,83,12,57,166,9,65,31
CD4_1,138,5,155,3,2,23,42,12,39,7,2,29,1,5,1,23,2,6,8,428,451,17,29,248,116,0,227,2,0,32,4,45,295,6,1497,1905,0,15,30,5,7,129,445,21,6,24,116,878,175,273,55,127,132,18,35,1,420,740,338,207,608,62,165,1351,103,480,167
CD8_2,75,1,58,0,0,18,8,10,37,5,3,2,0,1,3,22,1,0,3,215,295,0,15,72,26,0,43,0,0,11,1,14,78,2,669,518,0,3,5,0,1,37,120,17,2,17,26,175,72,82,6,36,32,3,17,2,99,340,117,155,167,19,31,437,23,117,78
