,E3,E1,T2,T9,T4,S,T10,T1,DC4,DC3,CD8_3,DC2,M6,M13,M5,Mo8,M12,M2,M11,CD4_3,Mo3,M3,Mo4,M9,M8,NK2,N4,N5,N2,N3,T6,Mo2,Mo7,M1,M7,M4,Mo5,Mo6,B2,CD4_2,NKT,NK1,CD8_5,CD8_4,CD45_2,CD8_6,CD8_2,Treg2,CD4_1,CD8_1,N1,B1,Treg1,CD4_4,CD45_1,T3,T8,T5,T11,L,T12,T7,E2,DC1,M10,Mo1,N7,N6
CD4_1,1,427,1,2,8,6,25,5,0,1,32,0,30,0,2,0,8,105,299,2,98,15,27,4,81,3,4,19,24,0,226,309,2,2874,1704,4,41,2,3,0,89,429,120,25,143,101,164,153,598,70,180,114,92,122,280,2,192,66,143,42,554,335,130,11,8,5081,550,622
CD8_1,0,41,2,0,0,1,5,1,1,0,3,1,5,0,1,0,0,5,39,0,6,1,1,1,6,0,0,1,0,0,20,33,1,271,163,1,4,0,0,0,12,44,24,5,31,10,21,14,70,20,19,18,9,22,32,0,13,11,15,1,80,35,8,0,0,559,44,55
N1,0,218,0,0,0,1,69,3,0,1,11,2,12,0,0,0,3,57,52,0,278,3,7,5,43,1,4,24,95,0,100,212,3,1671,914,11,23,1,0,0,40,219,17,2,21,43,83,57,180,19,640,27,13,9,128,2,163,19,81,4,234,135,96,1,3,2869,1182,969
B1,1,90,2,0,2,5,6,2,0,0,1,0,8,0,1,1,2,31,80,1,18,0,4,0,46,0,0,2,3,0,51,73,0,465,627,0,7,0,4,1,18,94,16,1,43,33,44,55,114,18,27,390,14,16,132,0,80,18,24,13,132,133,32,5,7,1013,58,107
Treg1,0,59,0,0,0,1,5,1,0,0,1,0,2,0,0,0,2,9,67,0,13,2,4,0,17,1,0,3,3,0,41,32,0,581,224,3,4,0,1,0,22,59,36,9,49,18,25,28,92,9,13,14,42,23,34,1,26,12,11,5,66,53,12,2,2,1010,45,50
CD4_4,1,88,0,0,2,1,2,2,0,2,8,1,3,0,0,0,1,32,142,0,6,2,8,1,13,1,1,0,3,0,51,60,0,730,327,1,11,0,0,0,19,87,45,12,57,12,56,32,122,22,9,16,23,78,65,8,35,31,31,18,140,82,21,5,2,1552,43,58
CD45_1,0,261,1,2,0,3,16,2,0,1,18,0,16,1,0,1,6,89,193,0,87,9,19,2,86,6,1,20,26,0,95,197,2,1777,1251,3,20,5,4,1,48,331,70,7,103,66,118,93,280,32,128,132,34,65,260,3,185,37,81,56,333,251,67,14,9,3316,354,415
T3,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,13,0,1,0,1,0,1,1,0,0,0,0,14,6,0,91,16,0,1,0,0,0,0,2,3,0,6,2,4,2,2,0,2,0,1,8,3,0,2,7,4,30,9,9,3,0,0,125,3,5
T8,0,117,0,3,1,2,24,0,1,0,7,2,37,0,3,0,7,94,143,0,74,9,9,2,118,1,4,31,21,0,97,149,3,1855,2241,13,36,3,2,2,42,254,45,4,54,64,112,73,192,13,163,80,26,35,185,2,176,13,78,69,312,244,33,8,7,2201,369,437
T5,2,53,0,0,2,0,3,3,0,0,4,0,3,0,1,0,2,19,108,0,5,2,6,0,16,4,0,0,2,0,40,46,0,463,263,1,8,1,0,0,11,83,35,5,38,13,43,15,66,11,19,18,12,31,37,7,13,60,11,64,84,71,19,1,1,975,36,50
T11,1,97,0,0,2,0,18,0,0,0,15,0,26,0,0,2,0,37,90,0,40,6,9,2,24,1,2,6,12,0,226,99,2,1854,593,6,24,0,0,1,26,136,33,7,28,28,69,31,143,15,81,24,11,31,81,4,78,11,114,32,205,104,21,4,3,2050,286,248
L,0,61,0,28,63,0,2,69,0,0,76,2,2,0,4,3,3,204,864,0,0,49,14,0,21,16,0,0,0,0,299,6,2,834,744,0,3,1,0,0,5,44,77,0,157,51,66,2,42,1,4,13,5,18,56,30,69,64,32,25084,318,391,12,6,5,569,6,13
T12,1,652,3,8,4,0,45,9,5,9,40,1,71,0,0,8,13,273,475,0,112,56,52,6,101,13,1,22,35,0,471,454,14,5116,4113,13,160,11,1,1,92,565,200,11,196,131,280,166,554,80,234,132,66,140,333,9,312,84,205,318,2168,1096,156,19,37,7693,713,762
T7,1,434,3,0,2,0,16,18,2,1,23,0,35,0,0,1,20,249,465,0,62,22,18,0,84,7,2,18,13,0,299,177,8,3573,2705,4,46,3,1,0,58,297,124,4,161,86,137,106,335,35,135,133,53,82,251,9,244,71,104,391,1096,1594,160,11,20,4545,345,381
E2,5,285,2,1,0,2,9,3,0,0,1,0,4,0,0,0,3,34,86,0,40,7,4,1,16,0,0,4,7,0,59,136,1,583,326,1,6,0,1,0,12,101,20,1,29,25,48,37,130,8,96,32,12,21,67,3,33,19,21,12,156,160,426,4,2,1433,257,315
DC1,0,16,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,12,0,4,0,3,0,1,1,0,0,0,0,11,8,0,88,40,0,1,0,0,0,1,7,3,0,3,1,7,3,11,0,1,5,2,5,14,0,8,1,4,6,19,11,4,2,0,139,17,23
M10,0,15,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,6,10,1,2,3,2,0,1,0,0,1,1,0,10,13,2,90,91,0,3,1,0,0,2,22,3,0,2,0,9,0,8,0,3,7,2,2,9,0,7,1,3,5,37,20,2,0,4,148,13,16
Mo1,35,6412,12,82,59,28,442,48,17,34,458,16,500,5,4,11,63,1515,4820,5,1801,78,241,45,709,70,37,207,500,4,3497,4249,76,49205,19947,110,1013,25,16,5,890,5004,1660,212,2359,1210,2175,1469,5081,559,2869,1013,1010,1552,3316,125,2201,975,2050,569,7693,4545,1433,139,148,111786,9195,8332
N7,1,532,1,12,4,10,263,6,1,0,37,4,71,1,0,0,2,160,162,0,1516,4,8,28,105,5,17,109,183,1,420,404,2,6771,2466,56,38,7,0,2,136,626,55,4,91,189,220,175,550,44,1182,58,45,43,354,3,369,36,286,6,713,345,257,17,13,9195,6508,3837
N6,0,649,2,9,3,6,273,8,5,2,33,7,45,0,1,0,4,189,154,3,927,22,28,11,178,6,8,137,79,0,246,747,4,4733,3002,47,57,11,3,2,136,768,67,2,81,199,253,165,622,55,969,107,50,58,415,5,437,50,248,13,762,381,315,23,16,8332,3837,4414
