,E3,E1,T2,T9,T4,T10,S,L,T1,DC4,DC3,CD8_3,DC2,M6,M13,Mo8,M12,M2,M11,CD4_3,Mo3,M3,Mo4,M9,M8,N4,N5,N2,T6,Mo2,Mo7,M1,M7,M4,Mo5,Mo6,B2,CD4_2,NKT,NK1,CD8_5,CD8_4,CD45_2,CD8_2,CD4_1,CD8_1,Treg1,Treg2,N1,B1,CD8_6,CD4_4,T3,CD45_1,T12,T5,T8,T11,E2,DC1,M10,Mo1,N7,N6,T7
Mo6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,8,0,2,36,0,8,0,0,0,1,7,0,0,0,1,0,0,0,0,3,1,0,0,0,1,14,0,8,0,1,0,1,36,2,2,1
B2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3,10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,4,0,0,0,0,4,1,0,0
CD4_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NKT,0,46,0,0,1,7,2,0,0,0,0,1,0,1,4,0,0,7,8,0,12,2,4,0,15,0,3,0,9,22,0,93,104,2,1,1,0,0,16,82,1,1,4,5,22,2,3,13,9,4,3,0,0,19,35,3,30,15,12,2,3,235,21,51,8
NK1,0,531,4,5,21,79,49,6,3,2,4,4,1,15,17,0,1,68,123,4,114,22,62,0,93,2,41,14,97,499,1,1470,1112,2,40,7,0,0,82,996,27,3,45,99,213,22,25,79,170,41,35,8,1,212,648,65,365,262,160,18,24,3164,304,514,123
CD8_5,0,22,0,0,1,1,2,1,0,0,0,0,0,1,0,0,0,2,13,0,1,0,2,0,1,0,1,1,5,13,0,82,33,0,3,0,0,0,1,27,4,1,4,1,6,1,3,5,2,0,0,1,0,11,21,4,6,8,1,0,1,122,7,8,4
CD8_4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,12,0,3,0
CD45_2,0,28,0,0,5,0,3,17,1,0,1,0,0,1,2,1,0,4,33,0,4,2,2,0,2,0,0,1,6,24,0,117,99,0,5,0,0,0,4,45,4,0,12,10,12,1,2,6,6,2,2,0,0,11,85,18,23,15,12,1,1,293,10,19,35
CD8_2,1,58,1,0,2,10,4,8,0,0,2,1,0,1,1,0,0,15,11,3,7,7,10,0,6,1,2,1,15,59,0,197,150,0,2,1,1,0,5,99,1,0,10,18,29,6,0,9,10,7,2,0,0,37,73,4,51,38,25,2,3,362,30,34,22
CD4_1,0,119,1,0,3,11,6,6,0,1,3,1,1,3,7,0,0,22,37,5,19,11,29,0,21,0,8,0,20,126,1,359,333,0,19,0,0,0,22,213,6,0,12,29,96,17,8,31,21,15,6,4,0,54,186,21,73,62,51,7,21,857,63,105,44
