,E3,E1,T2,T9,T4,S,T10,T1,DC4,DC3,CD8_3,DC2,M6,M13,M5,Mo8,M12,M2,M11,CD4_3,Mo3,M3,Mo4,M9,M8,NK2,N4,N5,N2,N3,T6,Mo2,Mo7,M1,M4,Mo6,B2,CD4_2,NKT,NK1,CD8_5,CD8_4,CD45_2,CD4_1,CD8_1,CD8_6,Treg2,CD8_2,Treg1,B1,T3,CD4_4,CD45_1,N1,L,T5,T12,T8,T11,M7,E2,Mo1,DC1,M10,Mo5,N7,N6,T7
CD8_2,6,195,5,2,27,16,31,2,1,4,8,5,2,6,3,5,4,183,497,139,21,21,36,0,81,3,0,11,1,0,30,194,4,1044,2,5,33,0,54,242,72,13,177,639,150,43,132,472,96,1693,4,57,440,45,39,268,548,174,115,850,162,1780,17,34,11,105,193,152
Treg1,3,95,4,1,18,7,10,6,1,3,1,2,1,1,1,2,10,96,331,15,9,10,14,2,36,0,0,2,2,0,23,63,0,797,1,3,5,3,32,107,17,6,85,168,34,13,109,96,92,340,0,19,188,17,10,198,322,139,69,541,87,793,11,12,0,34,71,76
B1,3,251,8,12,29,149,34,55,11,1,7,5,1,8,0,10,23,227,693,1056,48,78,69,3,698,0,0,8,0,0,57,783,6,1385,2,10,608,16,136,925,224,38,1009,2961,439,101,660,1693,340,41962,8,284,3115,91,36,344,1578,494,178,2555,297,4816,37,157,29,169,486,773
T3,0,17,0,1,65,0,7,1,0,0,1,1,1,0,0,0,1,18,165,1,0,2,3,0,1,0,0,0,5,0,61,1,0,690,0,1,0,0,1,3,1,1,9,0,1,1,2,4,0,8,10,0,6,2,11,164,207,9,70,66,11,79,1,2,0,32,6,12
CD4_4,3,32,2,0,4,0,0,2,0,1,0,0,0,0,0,0,2,21,123,14,4,6,3,0,19,0,0,0,1,0,13,17,0,238,0,1,1,0,5,34,11,4,42,125,25,6,29,57,19,284,0,38,80,9,5,71,90,29,26,121,38,341,1,4,2,9,20,26
CD45_1,6,316,23,8,65,32,73,36,12,15,18,17,4,13,5,21,30,594,999,101,40,126,139,1,436,6,3,25,3,1,62,595,7,2210,0,30,51,23,76,593,88,14,393,1164,230,99,353,440,188,3115,6,80,1888,86,103,634,1559,772,235,2954,351,3673,64,121,32,141,402,590
N1,0,141,4,1,31,9,413,1,0,5,8,0,11,9,2,2,4,144,157,5,52,72,52,6,42,1,3,43,29,8,67,127,0,843,0,11,1,0,3,63,6,3,19,44,6,8,23,45,17,91,2,9,86,572,12,164,590,234,237,803,217,446,21,20,5,857,1420,61
L,0,103,1,8,68,21,21,11,1,0,27,4,0,2,5,14,12,118,260,0,7,120,24,0,26,3,0,11,2,0,80,59,0,668,3,9,2,10,0,49,20,0,104,40,6,18,32,39,10,36,11,5,103,12,16178,44,484,246,42,1295,159,257,77,22,19,11,95,186
T5,69,1946,332,43,2856,50,794,59,3,42,80,26,243,2,299,15,206,6986,15431,19,36,178,87,5,192,6,8,34,37,1,960,234,1,20185,1,19,4,6,25,314,142,7,825,418,34,66,276,268,198,344,164,71,634,164,44,26098,27390,6209,6236,10549,2366,2558,246,254,17,798,732,1224
T12,71,3371,338,136,3191,84,2049,133,13,114,143,34,266,15,645,58,259,13762,20326,82,78,1160,562,19,506,28,17,157,70,7,1723,1329,18,32731,10,375,43,12,43,817,251,13,1355,1033,118,119,565,548,322,1578,207,90,1559,590,484,27390,74266,11472,13451,22726,4567,5673,600,700,90,1596,3014,3433
T8,22,1010,380,22,672,51,408,27,7,35,21,15,139,11,119,18,205,2112,3630,15,46,463,226,2,550,4,3,118,11,0,179,626,5,5626,0,145,21,10,32,465,53,4,262,469,66,51,333,174,139,494,9,29,772,234,246,6209,11472,11070,2082,15134,1592,1942,190,194,46,328,792,689
T11,8,809,63,54,1456,15,661,13,0,20,56,20,206,2,105,2,61,2837,5241,6,26,48,18,8,44,2,6,19,39,7,1213,107,1,15970,0,0,2,1,10,110,51,4,223,175,32,23,103,115,69,178,70,26,235,237,42,6236,13451,2082,6326,4241,334,1522,80,82,10,1129,1029,392
M7,52,2920,541,70,1501,142,751,121,24,93,124,73,244,65,161,57,439,5401,11332,67,221,2037,1010,10,2170,38,13,485,56,1,564,2526,53,22623,22,686,166,31,159,1908,239,11,923,1846,244,239,1124,850,541,2555,66,121,2954,803,1295,10549,22726,15134,4241,52412,4653,9587,587,671,266,1090,3003,3459
E2,85,1213,60,7,115,19,182,18,2,27,17,5,9,13,36,13,41,956,1594,35,30,338,243,2,180,2,1,35,6,0,61,590,17,1641,1,74,1,4,29,281,23,5,185,347,55,29,171,162,87,297,11,38,351,217,159,2366,4567,1592,334,4653,6632,1646,161,172,27,226,1165,841
Mo1,17,2546,54,22,407,80,256,80,25,46,91,17,84,24,6,31,71,1674,5230,282,258,282,318,13,702,13,11,76,82,0,830,2014,23,17330,18,97,54,32,250,1886,327,65,1434,3376,712,230,1015,1780,793,4816,79,341,3673,446,257,2558,5673,1942,1522,9587,1646,24820,188,179,184,1154,1404,1656
DC1,0,82,8,2,19,0,16,5,0,7,4,5,0,0,5,2,11,199,236,1,2,39,33,0,33,0,0,5,0,0,8,62,1,286,0,1,1,0,2,31,5,0,17,35,3,5,28,17,11,37,1,1,64,21,77,246,600,190,80,587,161,188,76,37,1,17,65,82
M10,6,84,10,4,12,5,18,3,1,5,6,2,0,1,7,4,6,205,260,8,4,70,78,0,34,6,0,15,1,0,9,94,3,217,0,11,3,1,3,46,3,0,19,67,11,3,21,34,12,157,2,4,121,20,22,254,700,194,82,671,172,179,37,94,2,22,99,124
Mo5,0,29,2,0,2,0,6,0,0,2,1,0,0,0,0,0,5,7,25,0,2,17,5,1,16,1,0,2,1,0,1,60,0,80,0,5,2,0,4,25,2,1,11,23,2,0,11,11,0,29,0,2,32,5,19,17,90,46,10,266,27,184,1,2,14,8,26,22
N7,0,154,4,4,230,15,906,7,1,2,15,1,45,8,6,1,6,491,949,7,151,26,24,31,28,1,14,64,119,10,299,110,1,5493,1,5,0,1,16,100,19,3,57,110,26,15,46,105,34,169,32,9,141,857,11,798,1596,328,1129,1090,226,1154,17,22,8,4448,3077,137
N6,11,351,13,8,106,25,1820,11,1,30,12,4,14,19,22,7,12,951,541,36,150,207,201,19,117,6,5,165,24,29,154,574,2,2442,0,32,15,2,26,318,26,4,85,296,41,32,139,193,71,486,6,20,402,1420,95,732,3014,792,1029,3003,1165,1404,65,99,26,3077,8352,349
T7,6,293,25,7,107,11,78,38,6,11,10,10,6,5,44,21,39,1241,1845,28,28,210,136,0,183,12,0,17,6,0,84,302,15,2498,2,35,15,3,19,220,42,7,222,367,56,32,143,152,76,773,12,26,590,61,186,1224,3433,689,392,3459,841,1656,82,124,22,137,349,1178
